jurisdiction,year,population,murder,rape,robbery,agg_assault,b_e,larceny_theft,m_v_theft,grand_total,violent_crime_total,violent_crime_percent,property_crime_totals,property_crime_percent,overall_crime_rate_per_100_000_people,violent_crime_rate_per_100_000_people,property_crime_rate_per_100_000_people,murder_per_100_000_people,rape_per_100_000_people,robbery_per_100_000_people,agg_assault_per_100_000_people,b_e_per_100_000_people,larceny_theft_per_100_000_people,m_v_theft_per_100_000_people,percent_change,violent_crime_percent_change,property_crime_percent_change,overall_percent_change_per_100_000_people,violent_crime_rate_percent_change_per_100_000_people,property_crime_rate_percent_change_per_100_000_people,murder_rate_percent_change_per_100_000_people,rape_rate_percent_change_per_100_000_people,robbery_rate_percent_change_per_100_000_people,agg_assault_rate_percent_change_per_100_000_people,b_e_rate_percent_change_per_100_000_people,larceny_theft_rate_percent_change_per_100_000_people,m_v_theft_rate_percent_change_per_100_000_people
Allegany County,1975,79655,3,5,20,114,669,1425,93,2329,142,6.100,2187,93.900,2923.9,178.3,2745.6,3.8,6.3,25.1,143.1,839.9,1789.0,116.8,,,,,,,,,,,,,
Allegany County,1976,83923,2,2,24,59,581,1384,73,2125,87,4.100,2038,95.900,2532.1,103.7,2428.4,2.4,2.4,28.6,70.3,692.3,1649.1,87.0,-8.800,-38.700,-6.800,-13.400,-41.800,-11.600,-36.700,-62.00,13.900,-50.900,-17.600,-7.800,-25.500
Allegany County,1977,82102,3,7,32,85,592,1390,102,2211,127,5.700,2084,94.300,2693.0,154.7,2538.3,3.7,8.5,39.0,103.5,721.1,1693.0,124.2,4.00,46.00,2.300,6.400,49.200,4.500,53.300,257.800,36.300,47.300,4.200,2.700,42.800
Allegany County,1978,79966,1,2,18,81,539,1390,100,2131,102,4.800,2029,95.200,2664.9,127.6,2537.3,1.3,2.5,22.5,101.3,674.0,1738.2,125.1,-3.600,-19.700,-2.600,-1.00,-17.500,0.0,-65.800,-70.700,-42.200,-2.200,-6.500,2.700,0.700
Allegany County,1979,79721,1,7,18,84,502,1611,99,2322,110,4.700,2212,95.300,2912.7,138.0,2774.7,1.3,8.8,22.6,105.4,629.7,2020.8,124.2,9.00,7.800,9.00,9.300,8.200,9.400,0.300,251.100,0.300,4.00,-6.600,16.300,-0.700
Allegany County,1980,80461,2,12,26,79,541,1706,108,2474,119,4.800,2355,95.200,3074.8,147.9,2926.9,2.5,14.9,32.3,98.2,672.4,2120.3,134.2,6.500,8.200,6.500,5.600,7.200,5.500,98.200,69.900,43.100,-6.800,6.800,4.900,8.100
Allegany County,1981,81781,11,13,24,101,539,1697,88,2473,149,6.00,2324,94.00,3023.9,182.2,2841.7,13.5,15.9,29.3,123.5,659.1,2075.1,107.6,0.0,25.200,-1.300,-1.700,23.200,-2.900,441.100,6.600,-9.200,25.800,-2.00,-2.100,-19.800
Allegany County,1982,81858,1,18,18,80,447,1570,55,2189,117,5.300,2072,94.700,2674.1,142.9,2531.2,1.2,22.0,22.0,97.7,546.1,1918.0,67.2,-11.500,-21.500,-10.800,-11.600,-21.600,-10.900,-90.900,38.300,-25.100,-20.900,-17.100,-7.600,-37.600
Allegany County,1983,82605,5,9,19,89,347,1412,67,1948,122,6.300,1826,93.700,2358.2,147.7,2210.5,6.1,10.9,23.0,107.7,420.1,1709.3,81.1,-11.00,4.300,-11.900,-11.800,3.300,-12.700,395.500,-50.500,4.600,10.200,-23.100,-10.900,20.700
Allegany County,1984,80835,2,15,6,67,361,1338,68,1857,90,4.800,1767,95.200,2297.3,111.3,2185.9,2.5,18.6,7.4,82.9,446.6,1655.2,84.1,-4.700,-26.200,-3.200,-2.600,-24.600,-1.100,-59.100,70.300,-67.700,-23.100,6.300,-3.200,3.700
Allegany County,1985,77655,0,7,12,70,396,1249,61,1795,89,5.00,1706,95.00,2311.5,114.6,2196.9,0.0,9.0,15.5,90.1,509.9,1608.4,78.6,-3.300,-1.100,-3.500,0.600,2.900,0.500,-100.0,-51.400,108.200,8.800,14.200,-2.800,-6.600
Allegany County,1986,78947,1,11,12,97,432,1393,60,2006,121,6.00,1885,94.00,2540.9,153.3,2387.7,1.3,13.9,15.2,122.9,547.2,1764.5,76.0,11.800,36.00,10.500,9.900,33.700,8.700,126.700,54.600,-1.600,36.300,7.300,9.700,-3.200
Allegany County,1987,75697,2,9,22,120,409,1390,59,2011,153,7.600,1858,92.400,2656.6,202.1,2454.5,2.6,11.9,29.1,158.5,540.3,1836.3,77.9,0.200,26.400,-1.400,4.600,31.900,2.800,108.600,-14.700,91.200,29.00,-1.300,4.100,2.600
Allegany County,1988,76500,4,19,16,124,448,1439,81,2131,163,7.600,1968,92.400,2785.6,213.1,2572.5,5.2,24.8,20.9,162.1,585.6,1881.0,105.9,6.00,6.500,5.900,4.900,5.400,4.800,97.900,108.900,-28.00,2.200,8.400,2.400,35.800
Allegany County,1989,76375,2,20,16,153,514,1505,70,2280,191,8.400,2089,91.600,2985.3,250.1,2735.2,2.6,26.2,20.9,200.3,673.0,1970.5,91.7,7.00,17.200,6.100,7.200,17.400,6.300,-49.900,5.400,0.200,23.600,14.900,4.800,-13.400
Allegany County,1990,74946,0,17,15,206,464,1620,66,2388,238,10.0,2150,90.0,3186.3,317.6,2868.7,0.0,22.7,20.0,274.9,619.1,2161.6,88.1,4.700,24.600,2.900,6.700,27.00,4.900,-100.0,-13.400,-4.500,37.200,-8.00,9.700,-3.900
Allegany County,1991,76175,1,20,15,282,511,1580,60,2469,318,12.900,2151,87.100,3241.2,417.5,2823.8,1.3,26.3,19.7,370.2,670.8,2074.2,78.8,3.400,33.600,0.0,1.700,31.500,-1.600,131.300,15.700,-1.600,34.700,8.400,-4.00,-10.600
Allegany County,1992,76925,1,12,16,333,483,1749,97,2691,362,13.500,2329,86.500,3498.2,470.6,3027.6,1.3,15.6,20.8,432.9,627.9,2273.6,126.1,9.00,13.800,8.300,7.900,12.700,7.200,-1.00,-40.600,5.600,16.900,-6.400,9.600,60.100
Allegany County,1993,75274,1,15,21,343,384,1591,102,2457,380,15.500,2077,84.500,3264.1,504.8,2759.3,1.3,19.9,27.9,455.7,510.1,2113.6,135.5,-8.700,5.00,-10.800,-6.700,7.300,-8.900,2.200,27.700,34.100,5.300,-18.800,-7.00,7.500
Allegany County,1994,75891,2,13,18,302,386,1638,75,2434,335,13.800,2099,86.200,3207.2,441.4,2765.8,2.6,17.1,23.7,397.9,508.6,2158.4,98.8,-0.900,-11.800,1.100,-1.700,-12.600,0.200,98.400,-14.00,-15.00,-12.700,-0.300,2.100,-27.100
Allegany County,1995,74394,1,16,18,372,387,1487,71,2352,407,17.300,1945,82.700,3161.5,547.1,2614.5,1.3,21.5,24.2,500.0,520.2,1998.8,95.4,-3.400,21.500,-7.300,-1.400,23.900,-5.500,-49.00,25.600,2.00,25.700,2.300,-7.400,-3.400
Allegany County,1996,74833,2,15,13,299,450,1681,81,2541,329,12.900,2212,87.100,3395.6,439.6,2955.9,2.7,20.0,17.4,399.6,601.3,2246.3,108.2,8.00,-19.200,13.700,7.400,-19.600,13.100,98.800,-6.800,-28.200,-20.100,15.600,12.400,13.400
